"","Data","BBDC3","BBDC4","BTOW3","ITUB4","LREN3","PSSA3","TRPL4","VALE3","VALE5","CSMG3"
"6481",2014-07-08,32.79,32.38,28.45,31.86,70.78,33.08,28.6,30.95,27.77,39.04
"6491",2014-07-10,33.18,32.45,28.84,32.28,71.89,32.74,28.7,30.82,27.68,40.25
"6501",2014-07-11,33.94,32.85,30.66,33.03,72,33.3,28.91,30.8,27.64,39.95
"6511",2014-07-14,34.71,33.41,31.31,33.4,72.57,33.42,29.06,30.95,27.81,40.16
"6521",2014-07-15,35.53,34.3,30.8,33.8,73,33.01,29.1,30.9,27.95,39.94
"6531",2014-07-16,35.75,34.72,30.45,34.04,73.5,32.16,29.02,31.37,28.4,38.64
"6541",2014-07-17,34.79,33.42,32.05,33.13,72.9,32.23,29,31.8,28.34,38.78
"6551",2014-07-18,36.25,34.6,32.61,34.8,73.3,32,28.93,32,28.52,39.92
"6561",2014-07-21,36.55,34.89,32.2,35,72.79,32.01,28.9,31.49,28.09,38.79
"6571",2014-07-22,36.57,35.37,32.99,35.46,73.48,32.34,29.09,31.8,28.48,39.55
"6581",2014-07-23,36.1,34.6,33.65,34.99,73.51,32.14,28.95,31.8,28.5,39.75
"6591",2014-07-24,36.7,35.19,34.5,35.49,71.78,32.35,29.06,32.06,28.8,38.99
"6601",2014-07-25,36.3,35.6,34.5,35.91,70.53,32.48,29.51,32.3,28.92,38.19
"6611",2014-07-28,36.5,35.42,35.55,35.89,71.88,32.44,29.53,32.57,29.13,38.04
"6621",2014-07-29,36.24,34.85,36.2,35.49,73.12,31.87,29.75,33,29.48,38.59
"6631",2014-07-30,35.81,35.2,36.51,35.79,70.94,31.9,29.07,32.95,29.39,37.48
"6641",2014-07-31,35.01,34.75,34.48,35.65,70.01,31.49,29.16,32.09,28.66,38.01
"6651",2014-08-01,35.13,34.45,33.38,34.83,68.5,31.34,28.5,32.45,28.98,37.33
"6661",2014-08-04,35.48,35.15,32.78,35.14,70.17,30.95,28.5,31.86,28.68,37.25
"6671",2014-08-05,35.8,35.33,34.5,36.4,71.57,31.12,28.61,32,28.57,37.85
"6681",2014-08-06,35.74,35.01,35.6,35.9,69.72,31.94,29.01,31.63,28.35,36.64
"6691",2014-08-07,36.12,35.4,35.9,36.06,70.92,31.43,29,32.05,28.65,36.95
"6701",2014-08-08,34.93,34.51,34.55,35.15,69.63,30.92,28.57,31.5,28,36.75
"6711",2014-08-11,35.3,34.4,35.19,35.35,70,31.02,28.85,32,28.5,37.59
"6721",2014-08-12,36.3,34.84,35.7,35.6,70.44,31.75,29.46,31.85,28.48,38.05
"6731",2014-08-13,36.35,35.05,36.59,35.68,70.56,31.7,30.47,31.75,28.2,38.31
"6741",2014-08-14,35.66,34.42,37.65,34.79,69.85,32.01,30.77,31.1,27.64,38.65
"6751",2014-08-15,36.9,35.86,35.6,35.59,70.01,32.2,31.35,30.9,27.5,37.76
"6761",2014-08-18,37.44,36.5,36.15,36.22,70,32.68,31.94,31.2,27.79,37.95
"6771",2014-08-19,37,36.11,36.87,36.1,69.36,32.62,32.18,31.05,27.54,37.88
"6780",2014-08-20,38.26,37.25,35.51,37.44,70.72,33.5,32.22,31.39,27.85,37.89
"6790",2014-08-21,38.24,37.64,35.2,37.64,70.45,32.85,32.85,31.7,28.16,37.74
"6800",2014-08-22,38.33,37.9,34.84,37.66,72.67,33.09,32.99,31.44,27.95,38.77
"6810",2014-08-25,38.61,37.97,34.58,37.89,72.94,32.14,32.86,31.53,28.02,39.24
"6820",2014-08-26,39.24,38.62,35.51,38.41,72.89,32.51,32.23,31.05,27.54,38.85
"6830",2014-08-27,38.93,39,36.7,38.95,73.49,32.45,32.58,31.2,27.73,38.13
"6840",2014-08-28,39.49,39.68,37.61,39.6,75.3,33.42,32.33,30.07,26.76,39.2
"6850",2014-08-29,40.2,40.1,37.53,39.8,76.69,32.89,32.52,29.5,26.29,39.95
"6860",2014-09-01,40.63,41.25,37.89,41.11,77.25,33.2,32.72,29.45,26.24,39.71
"6870",2014-09-02,40,40.62,36.17,40.47,75.2,33.67,33.57,29.12,25.95,38.41
"6880",2014-09-03,41.28,41.81,36.4,41.5,75.51,34,33.97,28.86,25.65,38.27
"6890",2014-09-04,39.96,40.94,36.62,40.31,74.53,33.28,33.88,28.98,25.6,40.35
"6900",2014-09-05,39.48,40.04,37.51,40.08,75.63,32.83,34.09,28.49,25.3,40.5
"6910",2014-09-08,40.42,41.34,37.79,40.9,75.46,32.91,34.6,28.29,24.9,40.13
"6920",2014-09-09,38.17,39.47,37.11,39.12,73.12,32.25,33.61,28.05,24.75,38.9
"6930",2014-09-10,38.18,38.9,36.34,38.6,72.3,31.37,32.9,28.49,25.09,38.97
"6940",2014-09-11,38.2,38.46,37.4,38.55,72.06,31.5,34.43,28.49,25.03,40.58
"6950",2014-09-12,37.44,37.8,38.36,37.68,70.25,31.5,34.5,28.17,24.9,39.71
"6960",2014-09-15,37,37.03,40.44,37.13,70,30.7,34.91,28.89,25.46,39.55
"6970",2014-09-16,38.2,38.27,38.69,38.14,69.78,30.48,35.38,28.98,25.65,38.7
"6980",2014-09-17,39.34,39.85,38.44,39.73,72,31.11,35.87,29.45,25.85,37.61
"6990",2014-09-18,38.33,38.98,38.98,38.81,71.02,31.39,35.07,28.95,25.44,35.34
"7000",2014-09-19,37.63,38.45,39.78,38.19,68.61,30.66,35.42,28.83,25.38,36.38
"7010",2014-09-22,36.71,37.08,37.5,36.97,68.21,30.29,35,27.85,24.4,34.17
"7020",2014-09-23,37.23,37.5,35,37.09,67.38,30.91,34.66,27.33,24.01,34.8
"7030",2014-09-24,36.72,37,34.6,36.84,67.31,30.11,34.18,27.55,24.11,34.8
"7040",2014-09-25,37.15,37.3,34.35,37.1,71.5,30.1,35.2,27.6,24.2,33.2
"7049",2014-09-26,36.68,36.75,34,36.22,69.93,30.46,35.45,27.41,24.29,33.8
"7059",2014-09-29,35.04,35.35,32.89,35,68.2,30.15,35.72,26.25,23.23,32.49
"7069",2014-09-30,34.94,35.41,33.61,34.81,69.83,29.15,35.9,26.68,23.33,32.97
"7079",2014-10-01,34.37,34.21,32.11,33.29,69.84,28.5,35.54,26.65,23.51,31.19
"7089",2014-10-02,33.76,33.8,33.02,33.21,69.32,28.94,34.45,26.9,23.88,30.75
"7099",2014-10-03,34.6,34.9,32.51,34.4,68.93,29.2,34.58,27.45,24.09,31.71
"7108",2014-10-06,39,39.9,33.02,39,72.54,30.89,36.34,27.95,24.4,32.95
"7118",2014-10-07,38.64,38.78,31.71,37.38,73.43,30.2,36.38,27.8,24.1,31.45
"7128",2014-10-08,38.25,38.5,32.9,37.5,74.6,29.9,36.13,27.75,24.09,32.57
"7138",2014-10-09,37.49,38.14,32.56,37,74.5,29.07,36.29,27.73,24.14,32.2
"7148",2014-10-10,36.82,37.65,32.29,36.4,74.25,28.92,35.9,26.75,23.41,31.86
"7157",2014-10-13,37.08,37.5,31.7,36.44,73.8,29,35.2,27.15,23.75,32.89
"7167",2014-10-14,38.13,38.99,30.4,37.73,74,27.68,36,27.75,24.29,32.19
"7177",2014-10-15,37.16,38.31,30.43,37.3,73.54,28.64,36.93,27.85,24.48,33.28
"7187",2014-10-16,35.15,36.19,29.33,35.36,71.25,27.97,36,27.6,24.05,31.54
"7197",2014-10-17,35.64,36.97,29.5,36.55,71.92,28.9,36.49,26.7,23.25,32.61
"7207",2014-10-20,36.2,37.45,29,36.36,71.5,29.24,36.93,26.5,23,31.95
"7217",2014-10-21,33.25,34.2,28.5,33.61,68.86,29.97,36.96,26.11,22.71,32.78
"7227",2014-10-22,33.7,34.82,28.6,33.8,68,29.09,35.95,26.76,23.2,32.86
"7237",2014-10-23,33.49,34.6,27.69,33.48,68.02,28.6,36.5,26.41,23.11,30.32
"7247",2014-10-24,32.6,33.09,30.2,32.31,66.76,29.08,35.12,26.89,23.54,30.68
"7257",2014-10-27,29.7,30.9,28,30.4,65.48,29,33,26.68,22.99,27.8
"7267",2014-10-28,32.11,34.08,31.15,33.24,68.94,29.53,35.89,26.75,23.01,28.16
"7277",2014-10-29,33.15,34.72,30,33.64,69.51,29.74,35.72,25.99,22.5,27.69
"7286",2014-10-30,33.49,34.9,31.27,33.9,71.83,29.12,36.2,23.81,20.65,27.97
"7296",2014-10-31,35.06,36.5,30.67,35.8,72.99,29.51,37.24,23.95,20.75,28.99
"7306",2014-11-03,35.69,36.72,31.55,36.34,73.68,29.9,38.44,24.7,21.3,28.68
"7316",2014-11-04,35.4,37.5,31.85,37.85,73.27,30.38,38.19,24.78,21.49,27.22
"7326",2014-11-05,35.64,36.75,31.8,36.8,72.57,30.01,37.55,23.75,20.65,26.13
"7336",2014-11-06,35,36.48,31.44,36.7,72.49,29.81,37.55,23.54,20.45,26.17
"7346",2014-11-07,34.4,36.2,32.88,35.48,73.2,28.91,38.28,23.66,20.61,25.57
"7356",2014-11-10,35.47,36.54,33.98,36.59,73.84,29,38.81,24.5,21.04,24.55
"7366",2014-11-11,34.56,35.88,34.1,35.69,72.03,29.26,38.42,22.94,19.94,25.01
"7376",2014-11-12,35.36,36.36,32.5,35.74,72.35,29.3,38,22.59,19.44,24.39
"7386",2014-11-13,35.1,36.68,31.51,36.67,72.18,29.75,37.51,22.52,19.4,24.52
"7395",2014-11-14,34.09,35.41,28.7,34.81,71.07,29.5,36.91,22.29,19.22,25.7
"7405",2014-11-17,34.36,35.47,29.45,35.39,71.25,28.88,36.5,22.93,19.66,23.85
"7415",2014-11-18,33.83,35.2,28.93,35.19,71.7,29.07,36.2,22.88,19.6,23.24
"7425",2014-11-19,35.46,36.79,28.9,36.27,72.46,29.89,37.68,21.85,18.57,23.25
"7434",2014-11-21,36.82,38.16,27.2,37.69,72.72,30.34,38.2,23.19,19.65,23.55
"7444",2014-11-24,39.8,41.56,27.16,40.5,76.6,31.45,39.45,24,20.53,25.3
"7454",2014-11-25,38.9,40.65,26.66,39.6,75.74,31.55,37.66,23.79,20.38,25
"7464",2014-11-26,39.53,41.17,26.91,40,74.3,31.15,38,24.01,20.6,25.73
"7473",2014-11-27,38.59,40.5,26.75,39.35,75,30.95,37.79,23.26,19.81,25.2
"7483",2014-11-28,38.1,39.81,27.92,38.97,76.49,31.46,38.2,23.24,19.99,25.31
"7493",2014-12-01,37.7,38.95,28.68,38,76.49,31.03,38.73,22.84,19.76,24.4
"7503",2014-12-02,36.81,38,28,37.36,73.15,30.5,38.78,22.45,19.5,23.67
"7513",2014-12-03,36.36,37.18,28.99,36.74,75,30.37,38.8,21.83,18.82,24.55
"7523",2014-12-04,36.59,37.75,28.12,37.23,76.96,30.3,39.26,22.01,18.86,25.67
"7533",2014-12-05,35.61,36.99,27.05,36.62,74.81,31.2,40,21.65,18.5,24.11
"7542",2014-12-08,35.88,37.22,26.2,37,75.6,30.75,39.33,21.79,18.51,23.8
"7552",2014-12-09,34.31,35.2,25.51,35.18,72.8,30.3,39.27,20.41,17.46,22.91
"7562",2014-12-10,34.55,36.25,25.49,35.64,73.66,29.72,39.43,20.64,17.65,22.16
"7572",2014-12-11,34.64,35.4,24.77,35.27,75.9,29.36,40.02,19.92,16.9,22.48
"7582",2014-12-12,34.52,35.7,25.34,35.24,73.46,28.8,39.98,19.27,16.4,21.79
"7592",2014-12-15,33.6,34.72,24.5,34.1,73.6,28.49,39.41,19.05,16.46,22.79
"7602",2014-12-16,31.42,32.43,22.76,32.47,70.18,28.11,38.16,18.33,15.77,23.25
"7611",2014-12-17,33,33.55,22.4,33.02,72.21,27.5,37.62,19.55,16.76,22.79
"7621",2014-12-18,34.45,35.33,22.45,34.75,74.62,28.8,39.84,20,17.2,22.83
"7631",2014-12-19,34.41,35.13,22.6,34.7,74,28.66,39.66,20.3,17.65,21.5
"7641",2014-12-22,34.65,35.7,23.55,35,75.95,29.3,40.6,21.89,18.9,23
"7651",2014-12-23,34.35,35.17,24.16,35.1,76,29.46,40.2,21.15,18.39,23.9
"7661",2014-12-26,34.84,35.51,24.06,35,75.35,30.4,40.14,22.22,19.39,24.7
"7671",2014-12-29,34.47,35,24.32,34.55,75.02,30.43,41.19,21.7,19.24,24.49
"7681",2014-12-30,35,35.34,23,34.99,75.4,31.01,41,22.38,19.31,25.07
"7691",2015-01-02,33.66,34.75,22.08,34.25,75.6,30.6,41.4,21.7,19.09,25.1
"7701",2015-01-05,33.47,33.71,21.9,33.3,75.43,30.78,40.64,20.76,18.45,24.8
"7711",2015-01-06,33.81,34.37,21.05,34,73.28,30.86,40.5,21.27,18.95,25.94
"7721",2015-01-07,34.88,35.94,21.39,35,74.88,30.63,40.7,22.32,19.64,26.15
"7731",2015-01-08,36.01,37,21,36,75.71,30.6,41.57,22.77,20.15,26.95
"7741",2015-01-09,36.2,36.72,20.36,36.05,75.22,30.2,38.5,22.59,19.89,26.8
"7751",2015-01-12,34.59,35.2,20.16,34.6,72.4,30.09,38.22,22.11,19.67,26.77
"7761",2015-01-13,34.3,35.1,20.11,34.21,74.07,29.4,38.38,22.7,19.94,24.48
"7770",2015-01-14,33.9,34.5,20,33.6,73.65,28.33,38.5,21.8,19.18,23.05
"7780",2015-01-15,34.45,35.39,19.75,34.2,74.15,29.38,38.96,20.8,18.5,21.8
"7790",2015-01-16,34.17,35.15,19.79,33.91,74.22,28.3,39.16,21.05,18.65,22.89
"7800",2015-01-19,33.85,35.1,19.96,34.11,73.83,28.86,40.29,21.45,18.98,24.33
"7810",2015-01-20,34.05,35.2,19.9,33.65,73.85,28.75,39,22.08,19.5,23.07
"7820",2015-01-21,33.5,34.97,19.79,33.7,73.84,28.7,39.85,21.87,19.25,23.81
"7830",2015-01-22,35.25,35.7,20.53,34.59,73.69,29.49,38.69,22.35,19.65,22.41
"7840",2015-01-23,34.1,35.45,22.07,34.34,72.35,29.56,38.86,21.5,19.04,22.76
"7850",2015-01-26,33.61,34.85,22.81,33.87,72.08,29.2,37,20.01,17.74,18.89
"7860",2015-01-27,34.02,35.42,22.72,34.3,71.93,29.52,37.38,19.37,17.32,16.45
"7869",2015-01-28,34.46,35.55,22.23,33.9,71.6,29.66,38.34,18.72,16.78,17.43
"7879",2015-01-29,34.25,35.6,22.2,33.9,71.7,28.71,38.4,19,16.95,16.85
"7889",2015-01-30,33.07,34.3,22.69,32.72,71.5,28.4,39.55,17.7,16,17.2
"7899",2015-02-02,34,34.15,23.21,33.22,71.02,27.26,38.59,18.95,16.73,16.55
"7909",2015-02-03,35.4,35,23.3,34.49,72.24,26.99,38.6,20.34,17.73,16.65
"7919",2015-02-04,35.2,35.32,23.08,34.22,72.4,27.26,38.69,20.88,17.9,16.13
"7929",2015-02-05,34.9,35.78,22.79,35.35,71.55,27.9,39.3,20.56,17.72,16.29
"7938",2015-02-06,34.72,35.55,22.31,35,72.45,28.31,38.76,20.21,17.56,16.2
"7948",2015-02-09,35.19,35.55,21.43,34.81,70.92,27.46,37.79,20.25,17.55,16.05
"7957",2015-02-10,34.76,35.9,21.9,35.4,73.55,27.86,37.42,21.28,18.45,15.58
"7967",2015-02-11,34.25,35.16,20.9,34.33,71.16,28.12,39.39,20.33,17.73,15.32
"7977",2015-02-12,34.48,34.9,19.82,33.84,71.3,28.09,34,21.7,18.7,14.39
"7986",2015-02-13,35.13,35.96,19.64,34.58,76,28.31,40.43,21.89,18.76,14.95
"7996",2015-02-19,36.42,36.92,20.7,35.57,77.99,28.7,41.06,22.88,19.42,16.84
"8006",2015-02-20,36.6,36.98,20.85,36,80.64,28.81,41.74,22.21,19.17,18.09
"8016",2015-02-23,35.76,36.55,20.3,35.34,80.49,28.99,41.08,22.1,19.08,17.29
"8026",2015-02-24,36.9,37.5,19.8,36.48,81.17,30.11,40.73,21.65,18.95,17.1
"8036",2015-02-25,36.69,37.32,20.06,36.15,81.52,30.6,41.11,21.83,18.88,17.58
"8046",2015-02-26,37.98,38,19.73,36.75,83.87,31.91,41.86,21.87,18.87,18.04
"8056",2015-02-27,37.5,38,19.97,36.9,83.55,31.92,42.22,21.35,18.47,19.37
"8066",2015-03-02,37.33,37.51,20.05,36.4,83.81,31.31,42.44,21.16,18.4,20.11
"8076",2015-03-03,36.68,37.06,20.15,36.29,85.01,31.2,41.91,20.71,18.02,20.1
"8086",2015-03-04,36.01,36.58,19.95,36.13,84.02,30.84,41.46,20.48,17.79,20.13
"8096",2015-03-05,36.46,36.45,21.17,36.22,83.59,30.91,41.83,20.38,17.53,18.2
"8106",2015-03-06,35.97,36.22,20.51,35.72,82.84,30.6,41.17,19.45,16.82,17.59
"8115",2015-03-09,35.11,35.5,20.15,34.2,82.99,30.24,40.96,19.43,16.82,17
"8125",2015-03-10,34.24,34.34,20.01,33.55,80.54,29.22,40.79,19.13,16.84,17.1
"8135",2015-03-11,34.72,33.92,19.51,33.03,80.44,30.4,40.89,19.13,16.6,16.47
"8145",2015-03-12,35.84,35.2,19.71,34.2,84.24,31.31,40.28,19.12,16.54,16.92
"8155",2015-03-13,33.27,33.39,21.2,33.22,81.74,31.24,40.13,18.6,16.09,17.1
"8165",2015-03-16,33.9,34,20,34.05,83.19,30.5,39.5,19.07,16.61,16.91
"8175",2015-03-17,34.3,34.16,19.48,33.99,82.66,31.64,39.26,18.98,16.47,16.9
"8185",2015-03-18,35.69,35.49,19.19,34.64,83.9,31.98,39.26,19.55,16.94,17.82
"8195",2015-03-19,37.34,36.63,18.6,35.75,85.28,32.24,40.27,19.65,16.71,18.68
"8205",2015-03-20,37.35,36.58,18.4,36,85.44,32.48,40.13,19.47,16.8,18.06
"8215",2015-03-23,37,36.7,18.83,35.89,86.5,32.89,41.18,20.33,17.31,18.4
"8225",2015-03-24,37.11,36.8,19.64,35.7,85.86,33.85,41,20.2,17.35,19.64
"8235",2015-03-25,37.29,36.7,18.8,35.7,86.6,34.63,40.78,19.74,16.89,19.76
"8245",2015-03-26,36.7,36.11,18.04,35.08,86.3,34.31,40.44,19.6,16.9,18.81
"8255",2015-03-27,29.9,29.43,17.01,34.47,85.68,33.88,40.79,18.83,16.29,18.37
"8265",2015-03-30,29.13,28.75,16.5,34,87.8,33.9,39.76,18.62,16.2,17.49
"8275",2015-03-31,29.16,28.83,17.63,34.65,88.98,35.3,39.96,18.31,15.77,17.74
"8285",2015-04-01,30.55,30.06,20.25,35.8,91.41,36.05,39.78,17.78,15.4,18.7
"8295",2015-04-02,31.22,30.84,21.55,36.45,92.62,36.1,41.01,17.46,14.9,18.67
"8305",2015-04-06,32.4,31.2,22.2,37.37,94.09,36.68,41.32,18.24,15.64,18.48
"8315",2015-04-07,31.76,31.15,22.6,37.1,93.4,37,41.75,18.35,15.65,19.94
"8325",2015-04-08,32.13,31.42,21.1,37.65,94.58,37.36,41.1,19.45,16.31,19.66
"8335",2015-04-09,31.62,30.75,22,36.7,93.48,36.75,41.14,18.45,15.5,18.53
"8345",2015-04-10,30.88,30.51,22.35,36.5,93.56,36.5,40.52,18.8,15.52,18.66
"8355",2015-04-13,31.38,30.85,23.1,36.9,93.51,36.73,41.03,18.4,15.25,18.3
"8365",2015-04-14,31.75,31.34,25.55,36.92,94,37.52,40.66,18.55,15.5,18.37
"8375",2015-04-15,31.3,31.39,24.35,37.07,94.49,36.67,41.28,18.45,15.41,18.05
"8385",2015-04-16,31.18,31.67,25.75,37.08,95.02,37.01,41.8,18.46,15.46,18.15
"8395",2015-04-17,30.75,31.26,25.68,36.62,91.9,36.6,41.04,17.91,15.01,18.41
"8405",2015-04-20,30.33,30.9,26.11,36.68,91.05,37,41.1,17.86,15.25,18.5
"8415",2015-04-22,30.29,30.58,26.35,36,92.15,36.31,40.51,18.27,15.39,18.99
"8425",2015-04-23,30.7,30.83,28,36.53,92.25,35.57,41.06,19.26,16.32,18.6
"8435",2015-04-24,31.11,31.95,26.8,37.91,94.88,36.38,42.2,21.95,18.25,19.07
"8445",2015-04-27,30.84,32.17,27.79,38.98,95.5,36.77,41.38,23.35,18.65,19.05
"8455",2015-04-28,31.09,32.03,27.95,38.62,95.4,35.72,41.79,23.73,18.74,18.95
"8465",2015-04-29,30.44,32.31,28.5,38.43,94.2,35.29,41.34,21.65,17.67,18.49
"8475",2015-04-30,29.8,31.53,27.95,38.1,105,36.01,41.4,20.6,16.57,19.11
"8485",2015-05-04,30.16,32.38,27.37,38.75,105.65,37.7,42.59,24.1,18.99,18.28
"8495",2015-05-05,29.83,32.02,26.95,38.7,105.4,39.1,42.85,24.88,19.19,18.84
"8505",2015-05-06,29.91,32.37,28.36,38.62,103.02,38.21,42.36,27.5,20.8,19.02
"8515",2015-05-07,29.55,31.35,26.63,37.31,105.02,38.89,41.8,25,19.33,19.4
"8525",2015-05-08,30.3,32.07,24.85,38.29,111.79,38.76,42.1,24.45,19.7,19.5
"8535",2015-05-11,29.89,31.9,26.49,38.37,114,38.83,42.01,23.26,19,19.22
"8545",2015-05-12,29.38,31.37,26.2,37.7,111.02,39.08,42.4,23.2,18.98,18.68
"8555",2015-05-13,29.1,31.25,27.16,37.73,113.65,38.85,43.8,22.15,18.33,18
"8565",2015-05-14,29.01,31,27.59,37.67,114.52,38.51,43.13,21.55,17.93,17.9
"8575",2015-05-15,29.65,31.62,27.72,37.9,111,38.84,43.32,21.35,17.8,17.44
"8585",2015-05-18,29.82,32.3,27.6,38.78,113.51,39.19,43.6,21.21,17.88,17.86
"8595",2015-05-19,29.05,31.46,27.8,37.6,112.3,38.53,42.65,20,16.75,17.9
"8605",2015-05-20,29.17,30.61,25.72,36.78,109.2,38.8,43.59,20.01,16.8,17.86
"8615",2015-05-21,28.65,29.98,27.03,36.12,109.94,37.23,42.56,19.78,16.61,17.42
"8625",2015-05-22,28,29.52,27.61,35.8,109.25,37.01,41,20.5,17.08,17.66
"8635",2015-05-25,27.44,29.09,26.21,35.4,109.31,35.31,41.16,20.11,17.01,16.81
"8645",2015-05-26,27.47,29.12,27,35.22,109.1,36.06,41.5,20.64,17.45,16.97
"8655",2015-05-27,26.82,28.56,25.4,35.18,107.5,35.3,41.57,20.8,17.55,16.46
"8665",2015-05-28,27.19,28.98,25.77,35.32,106.48,36.71,41.75,20.52,17.29,16.96
"8675",2015-05-29,27,28.98,24.62,35.1,106.84,36.8,40.49,20.49,17.18,16.8
"8685",2015-06-01,26.2,28.34,24.99,34.44,107.05,36.46,40.27,20.07,16.98,15.9
"8695",2015-06-02,26.78,28.37,24.63,34.37,106.5,35.51,41.33,20.15,16.9,15.99
"8705",2015-06-03,27,28.79,25.42,34.77,109.49,37.11,41.28,21.36,18.1,16.83
"8715",2015-06-05,25.88,28,23.8,33.86,106.12,36.5,41.51,20.5,17.4,17.3
"8725",2015-06-08,25.92,27.71,23.51,33.46,107,35.56,40.93,20.53,17.65,16.47
"8735",2015-06-09,26,27.64,23.1,33.1,108.98,35.55,40.41,19.95,17,16.28
"8745",2015-06-10,26.51,27.82,22.96,33.29,109,35.46,40.22,20.55,17.48,16.29
"8755",2015-06-11,26.94,28.51,23.4,34.14,110.34,35.92,40.69,21.44,18.04,15.98
"8765",2015-06-12,26.4,28,22.82,33.25,109.8,35.82,39.5,21.12,17.87,16.27
"8775",2015-06-15,26.38,27.6,22.86,33,109.51,36.09,39.9,20.88,17.7,15.44
"8785",2015-06-16,26.92,27.82,23,33.74,112.27,35.91,40.12,20.15,17.3,15.12
"8795",2015-06-17,27.1,28.1,24,34.33,110.2,35.93,39.92,19.75,16.95,14.89
"8805",2015-06-18,27.35,28.01,24,34.16,110.62,36.41,40.22,19.65,16.99,14.6
"8815",2015-06-19,27.48,28.38,23.09,34.02,111.68,36.33,40.5,20.14,17.21,14.8
"8825",2015-06-22,27.53,28.39,22.72,34.55,111.21,36.41,41.13,20.5,17.39,14.4
"8835",2015-06-23,27.75,28.51,22.5,34.77,112,36.78,41.54,20.17,17.11,14.81
"8845",2015-06-24,27.4,28.68,21.52,34.9,111.13,37.5,41.68,20.08,17.2,14.29
"8855",2015-06-25,27.82,28.88,20.9,34.91,111.49,37.87,39.95,19.85,17.01,14.09
"8865",2015-06-26,27.7,28.57,21.3,34.23,114.11,38.93,39.56,19.39,16.42,13.79
"8875",2015-06-29,27.9,28.6,20.85,34.07,113.98,39.07,39.35,19.18,16.3,13.93
"8885",2015-06-30,27.75,28.61,20.33,34.44,114.48,39.61,39.48,19.04,16.15,13.68
"8895",2015-07-01,27.82,28.65,20.49,34.45,113.8,41.23,39.42,18.32,15.75,13.79
"8905",2015-07-02,28.15,28.65,19.79,34.74,115.11,40.75,39.8,17.89,15.15,13.73
"8915",2015-07-03,27.66,28.71,19.96,34.65,117.3,41.7,39.24,17.9,15.33,13.8
"8925",2015-07-06,27.56,28.11,19.68,34.09,117.35,40.99,38.93,17.45,15.03,14.03
"8935",2015-07-07,27.15,27.9,20.56,33.71,116.4,41.89,39.15,17.5,14.79,13.56
"8945",2015-07-08,27.17,27.62,21.2,33.78,114,42.35,38.85,17.35,14.64,13.68
"8955",2015-07-10,27.46,27.97,22.33,34.4,112.2,41.81,39.74,17.99,15.13,14.49
"8965",2015-07-13,27.85,28.77,21.45,34.89,116.04,40.86,39.33,17.4,14.63,14.41
"8975",2015-07-14,27.84,28.9,20.17,31.74,114.99,40.6,39.35,18.17,15.1,13.87
"8985",2015-07-15,28.31,29.25,20.22,31.72,113.9,40.74,40.91,18.08,15,14.02
"8995",2015-07-16,28.67,29.33,20.28,31.65,115.64,40.89,41.04,17.32,14.68,14.32
"9005",2015-07-17,28.18,28.99,20.35,31.4,114.94,39.93,40.9,17.73,14.88,14.78
"9015",2015-07-20,27.78,28.63,19.95,31.22,113.61,39.15,41,17.4,14.68,13.88
"9025",2015-07-21,27.7,28.2,19.3,31.01,112.6,38.78,40.63,17.41,14.45,13.11
"9035",2015-07-22,27.38,27.68,18.8,30.51,110.01,38.01,40.62,17.25,14.29,13.49
"9045",2015-07-23,27.33,27.54,18.77,30.45,110.45,38.05,39.58,17.31,14.26,13.21
"9055",2015-07-24,26.09,26.5,17.99,28.9,108.24,37.4,39.48,17.32,14.4,13.04
"9065",2015-07-27,26.27,26.7,18.34,28.75,106,36.93,38.64,16.75,13.94,13.22
"9075",2015-07-28,26.78,27.36,18.4,29.3,105.33,37.79,39.23,17.17,14.35,12.95
"9085",2015-07-29,26.65,27.11,17.33,29.24,107.56,37,39.84,18.4,15.03,13.31
"9095",2015-07-30,27.78,27.8,18.5,29.78,107.92,38.71,40.27,19.1,15.89,12.39
"9105",2015-07-31,27.05,27.09,17.96,29.51,113.63,38.7,39.95,17.53,14.51,12.39
"9115",2015-08-03,26.85,26.54,17.79,29.9,107.86,38.96,41.69,17.81,14.6,11.91
"9125",2015-08-04,27.4,26.43,17.56,29.94,104,39.61,41.76,17.92,14.52,12.03
"9135",2015-08-05,27.3,26.2,17.18,29.5,105.42,38.65,42,18.65,15.38,11.71
"9145",2015-08-06,27.05,25.65,17.11,28.99,104.5,36.99,41.06,18.76,15.2,11.09
"9155",2015-08-07,26.8,25.71,16.99,28.8,102.9,36.38,41.05,19.45,15.51,10.55
"9165",2015-08-10,26.47,25.49,17.26,28.41,101.29,35.35,40.44,18.55,14.96,10.75
"9174",2015-08-11,26.65,25.7,17.5,28.5,100.4,34.92,39.9,18.85,15.04,10.32
"9184",2015-08-12,26.44,25.2,17,28.17,99.8,35.33,40.56,18.4,14.38,10.3
"9194",2015-08-13,26,24.81,16.26,27.53,97.82,33.95,40.26,19,15,10.42
"9204",2015-08-14,25.47,24.32,15.5,26.87,97.64,34.77,39.88,18.5,14.69,10.05
"9214",2015-08-17,25.2,24.06,15.2,26.62,100.19,34.24,40.4,18.1,14.23,9.85
"9224",2015-08-18,24.85,23.7,15.45,26.43,100.25,33.72,40.32,18.05,14.1,9.66
"9234",2015-08-19,25.12,23.84,14.95,26.51,103.33,34.32,40.27,17.4,13.74,9.81
